Result,Goals For,Goals Against,Date,gameid,Team,Opponent,Player,Position,TOI,Goals,iXG,Assists,Primary Assists,Secondary Assists,Shot Attempts,Shots,Slot Shots,Rush Chances,Cycle Chances,Forecheck Chances,Rebound Chances,OZ Pass Attempts,Successful OZ Passes,Slot Pass Completions,Total Stretch Pass Attempts,Successful Stretch Pass Attempts,Scoring Chances Generated,Controlled Exits,Controlled Entries,OZ Time of Possession,Pct of Play in OZ,Pct of Play in DZ,Overall Contested LPR Recovery Rate,Player Goals Against,Shot Attempts Against,Shots Against,Slot Attempts Against,Slot Shots Against,OZ Pass Attempts Against,Successful OZ Passes Against,Successful Slot Passes Against,Rush Chances Against,Cycle Chances Against,Forecheck Chances Against,Rebound Chances Against,Penalties Taken,Penalties Drawn,xGF WOI,xGA WOI,xGF%
L,3,8,26/5/2021,48267,CAL,TOR,Alexis Woloschuk,D,19.56,0,0.004,1,0,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0.11,0.294,0.504,0.25,3,37,22,25,14,110,82,12,7,12,3,1,1,0,0.718,2.237,0.243
L,3,8,26/5/2021,48267,CAL,TOR,Megan Grenon,D,17.3,0,0.006,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.223,0.605,0.333,3,32,18,16,11,118,89,9,3,9,2,1,0,0,0.079,3.044,0.025
W,8,3,26/5/2021,48267,TOR,CAL,Jocelyne Larocque,D,19.25,0,0.084,1,0,1,2,1,1,0,1,1,0,12,8,1,0,0,2,4,2,0.31,0.49,0.284,0,2,10,7,3,3,37,16,1,2,1,1,0,0,0,2.313,0.494,0.824
W,8,3,26/5/2021,48267,TOR,CAL,Laura Fortino,D,22.34,0,0.498,0,0,0,6,4,2,1,2,1,0,25,23,1,2,2,3,3,1,1.12,0.492,0.345,0,1,16,5,5,2,48,35,2,2,1,0,1,0,0,4.159,0.786,0.841
W,8,3,26/5/2021,48267,TOR,CAL,Renata Fast,D,20.58,0,0.341,0,0,0,4,3,3,0,1,1,0,19,17,2,1,1,5,2,1,1.02,0.568,0.24,0.143,1,6,4,2,2,29,10,1,1,1,1,0,0,1,2.692,0.274,0.908
W,8,3,26/5/2021,48267,TOR,CAL,Ella Shelton,D,17.38,0,0.093,1,1,0,3,1,0,0,0,0,0,15,11,1,1,1,1,3,1,0.34,0.459,0.35,0.4,1,12,4,5,2,30,22,2,2,1,0,1,0,0,3.343,0.743,0.818
W,8,3,26/5/2021,48267,TOR,CAL,Claire Thompson,D,14.5,0,0.254,1,0,1,5,3,2,2,0,0,0,9,4,0,1,1,2,7,2,0.27,0.569,0.251,0.667,1,11,6,7,5,18,11,2,5,0,0,1,0,1,1.884,0.784,0.706
W,8,3,26/5/2021,48267,TOR,CAL,Ella Matteucci,D,13.44,0,0.015,1,0,1,3,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0.11,0.591,0.232,1,0,8,4,5,4,17,11,2,3,0,0,1,1,0,2.037,0.411,0.832
L,3,4,27/5/2021,48268,MTL,TOR,Jaime Bourbonnais,D,25.06,0,0.092,1,1,0,1,0,0,1,0,0,0,13,8,0,1,0,0,2,1,0.23,0.48,0.352,0.5,0,20,11,12,9,69,47,5,5,4,3,1,0,2,1.917,0.924,0.675
L,3,4,27/5/2021,48268,MTL,TOR,Erin Ambrose,D,21.56,0,0.081,2,0,2,2,1,0,0,1,1,0,24,19,4,2,2,4,1,0,0.58,0.482,0.314,0,3,22,14,13,10,45,29,3,5,4,1,2,1,0,1.953,2.134,0.478
L,3,4,27/5/2021,48268,MTL,TOR,Lauriane Rougeau,D,19.43,0,0.085,0,0,0,3,3,1,1,0,0,0,4,2,0,2,2,1,3,2,0.16,0.35,0.426,0.2,1,17,11,10,7,83,60,6,5,3,2,0,1,0,0.441,0.818,0.35
L,3,4,27/5/2021,48268,MTL,TOR,Karell Emard,D,14.51,0,0.022,0,0,0,3,1,0,0,0,0,0,4,4,1,0,0,1,1,1,0.1,0.389,0.397,0.143,2,17,11,11,8,53,36,6,3,5,1,2,1,0,0.653,1.838,0.262
L,3,4,27/5/2021,48268,MTL,TOR,Catherine Daoust,D,16.15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,1,0.04,0.3,0.458,0.333,1,13,9,9,7,69,48,7,4,4,2,0,0,0,0.339,0.875,0.279
L,3,4,27/5/2021,48268,MTL,TOR,Samantha Isbell,F,12.52,0,0.008,0,0,0,1,1,0,0,0,0,0,4,2,0,1,1,0,2,2,0.07,0.425,0.353,0,0,12,8,9,8,24,14,3,4,2,3,1,0,0,0.463,0.769,0.375
W,4,3,27/5/2021,48268,TOR,MTL,Jocelyne Larocque,D,18.37,0,0.023,0,0,0,3,1,0,0,0,0,0,5,1,0,2,1,0,3,2,0.14,0.351,0.457,0.167,2,25,18,12,7,74,55,5,5,3,2,0,1,1,1.007,1.533,0.397
W,4,3,27/5/2021,48268,TOR,MTL,Laura Fortino,D,21.34,0,0.085,1,0,1,3,3,1,0,1,0,0,16,12,1,2,1,2,6,3,0.35,0.36,0.456,0,1,21,14,12,8,76,47,8,2,4,2,0,0,0,1.431,1.566,0.477
W,4,3,27/5/2021,48268,TOR,MTL,Renata Fast,D,25.24,0,0.111,1,0,1,4,2,1,0,1,0,0,20,14,2,0,0,3,2,2,0.59,0.44,0.375,0.556,2,20,12,10,5,80,52,3,2,4,2,0,0,0,2.115,1.24,0.63
W,4,3,27/5/2021,48268,TOR,MTL,Ella Shelton,D,15.51,0,0.117,1,1,0,2,1,0,0,1,0,0,10,8,2,1,0,2,2,1,0.2,0.296,0.522,0.167,0,19,16,8,7,66,44,8,2,2,2,0,1,0,1.585,1.075,0.596
W,4,3,27/5/2021,48268,TOR,MTL,Claire Thompson,D,17.43,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,2,1,1,2,1,0.19,0.316,0.456,0.25,0,17,11,10,6,65,44,10,2,4,3,0,0,0,0.714,1.774,0.287
W,4,3,27/5/2021,48268,TOR,MTL,Ella Matteucci,D,14.48,0,0.019,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.04,0.281,0.478,0,0,10,6,5,3,61,40,6,0,3,3,0,0,0,0.614,0.836,0.423
L,3,4,28/5/2021,48269,CAL,MTL,Katelyn Gosling,D,23.14,0,0.332,0,0,0,4,3,1,1,0,0,0,6,4,0,3,2,1,1,1,0.15,0.363,0.447,0,2,27,15,20,13,90,63,14,9,7,5,1,0,0,2.036,2.547,0.444
L,3,4,28/5/2021,48269,CAL,MTL,Brigette Lacquette,D,26.46,0,0.209,0,0,0,8,1,1,0,2,1,0,16,9,0,3,0,1,2,2,0.33,0.4,0.401,0.571,2,25,14,18,11,77,50,13,8,4,6,1,1,1,1.754,2.059,0.46
L,3,4,28/5/2021,48269,CAL,MTL,Erica Kromm,D,22.46,0,0.023,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0.05,0.296,0.517,0,1,35,20,16,10,86,51,8,2,7,2,1,0,0,0.502,2.326,0.178
L,3,4,28/5/2021,48269,CAL,MTL,Meaghan Mikkelson,D,30.13,0,0.056,2,1,1,4,2,0,0,0,0,0,24,20,1,4,2,1,3,0,0.55,0.398,0.422,0.375,0,32,17,16,9,94,60,6,2,7,3,0,1,0,1.3,1.349,0.491
L,3,4,28/5/2021,48269,CAL,MTL,Alexis Woloschuk,D,9.24,0,0.003,1,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.05,0.432,0.373,0,2,7,6,6,5,27,16,1,1,1,1,1,0,0,0.566,0.917,0.382
L,3,4,28/5/2021,48269,CAL,MTL,Megan Grenon,D,7.35,0,0.033,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.01,0.365,0.432,0.333,1,8,4,8,4,22,14,2,2,2,1,0,0,0,0.37,0.46,0.445
W,4,3,28/5/2021,48269,MTL,CAL,Jaime Bourbonnais,D,25.1,0,0.259,0,0,0,3,1,1,0,2,1,0,13,8,1,0,0,2,3,1,0.38,0.374,0.441,0.333,0,27,13,16,11,93,56,2,7,5,1,3,0,0,1.141,1.659,0.408
W,4,3,28/5/2021,48269,MTL,CAL,Erin Ambrose,D,25.44,0,0.037,1,0,1,4,2,0,0,0,0,0,21,16,2,2,1,2,4,1,0.49,0.476,0.353,0.5,1,22,8,11,5,58,35,3,6,3,1,2,0,0,2.823,1.1,0.72
W,4,3,28/5/2021,48269,MTL,CAL,Lauriane Rougeau,D,21.06,0,0.103,0,0,0,2,1,1,0,1,0,0,10,8,1,1,0,2,0,0,0.18,0.398,0.438,0.167,3,23,14,14,11,95,66,5,4,8,1,2,0,0,1.301,1.451,0.473
W,4,3,28/5/2021,48269,MTL,CAL,Karell Emard,D,13.45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,0,0.01,0.4,0.38,0.4,1,15,8,7,4,32,16,3,3,2,1,2,2,0,1.77,0.887,0.666
W,4,3,28/5/2021,48269,MTL,CAL,Catherine Daoust,D,16.38,0,0.066,0,0,0,2,0,0,0,1,0,0,5,4,1,2,1,1,2,1,0.15,0.466,0.324,0.4,1,13,6,9,5,40,27,3,6,2,1,1,0,0,1.122,0.621,0.644
W,4,3,28/5/2021,48269,MTL,CAL,Samantha Isbell,D,12.4,0,0.019,0,0,0,1,0,0,0,0,0,0,5,5,1,1,0,1,1,1,0.1,0.418,0.325,1,0,9,5,6,4,28,14,2,3,0,1,2,0,0,0.794,0.827,0.49
W,3,2,29/5/2021,48270,CAL,TOR,Katelyn Gosling,D,24.59,0,0.165,0,0,0,5,2,1,0,1,1,0,4,1,0,3,2,1,0,1,0.09,0.289,0.505,0,1,44,25,24,19,110,75,8,3,9,4,4,1,0,1.335,2.402,0.357
W,3,2,29/5/2021,48270,CAL,TOR,Brigette Lacquette,D,26.49,0,0.084,0,0,0,8,1,0,0,0,0,0,10,8,0,3,1,0,4,1,0.2,0.373,0.43,0.333,1,33,10,12,8,90,54,4,2,2,3,1,1,0,1.566,1.406,0.527
W,3,2,29/5/2021,48270,CAL,TOR,Erica Kromm,D,19.32,0,0.021,0,0,0,4,0,0,0,0,0,0,5,4,0,1,1,0,1,0,0.11,0.318,0.488,0.2,1,28,12,17,9,94,68,7,5,8,1,3,0,0,0.349,1.431,0.196
W,3,2,29/5/2021,48270,CAL,TOR,Meaghan Mikkelson,D,16.25,0,0.008,0,0,0,2,0,0,0,0,0,0,9,4,0,2,2,0,3,1,0.13,0.366,0.474,0.333,1,25,12,14,10,81,56,4,3,6,1,1,1,0,0.501,1.247,0.287
W,3,2,29/5/2021,48270,CAL,TOR,Alexis Woloschuk,D,14.43,0,0.04,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.04,0.274,0.577,0,0,29,16,17,12,82,60,7,1,8,2,2,0,0,0.261,1.429,0.154
W,3,2,29/5/2021,48270,CAL,TOR,Megan Grenon,D,7.06,0,0.064,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.01,0.322,0.511,0,0,12,9,8,6,35,28,6,2,3,0,0,0,0,0.216,0.651,0.249
L,2,3,29/5/2021,48270,TOR,CAL,Jocelyne Larocque,D,22.13,0,0.107,0,0,0,7,2,0,0,0,0,0,13,12,1,1,1,1,4,3,0.45,0.458,0.349,0.4,0,15,7,3,2,49,26,0,1,1,0,0,0,0,1.094,0.349,0.758
L,2,3,29/5/2021,48270,TOR,CAL,Laura Fortino,D,21.53,0,0.019,1,0,1,1,0,0,0,0,0,0,26,22,1,5,3,1,3,1,1.05,0.5,0.335,0.25,3,23,13,14,10,56,40,5,4,4,2,3,0,0,1.954,1.859,0.513
L,2,3,29/5/2021,48270,TOR,CAL,Renata Fast,D,23.1,0,0.06,0,0,0,6,1,0,0,0,0,0,20,17,2,0,0,2,4,1,0.47,0.478,0.324,0.417,0,15,9,4,3,45,24,0,1,1,0,1,0,0,1.475,0.607,0.709
L,2,3,29/5/2021,48270,TOR,CAL,Ella Shelton,D,21.31,1,0.263,1,0,1,6,4,3,0,2,0,0,19,18,2,3,2,5,1,1,0.57,0.496,0.322,0.25,2,19,9,11,7,55,39,4,3,4,2,2,0,0,1.951,1.418,0.579
L,2,3,29/5/2021,48270,TOR,CAL,Claire Thompson,D,18.57,0,0.198,0,0,0,7,2,1,1,2,0,1,12,7,1,0,0,2,2,3,0.37,0.521,0.29,0.833,0,13,5,1,1,33,26,3,0,0,0,0,0,0,1.691,0.175,0.906
L,2,3,29/5/2021,48270,TOR,CAL,Ella Matteucci,D,12.25,0,0.02,0,0,0,2,0,0,0,0,0,0,5,3,0,1,1,0,1,0,0.08,0.392,0.406,0.5,1,15,5,3,3,36,29,4,1,0,0,0,1,1,0.824,0.34,0.708
W,4,2,30/5/2021,48531,MTL,TOR,Jaime Bourbonnais,D,24.49,0,0.028,0,0,0,2,0,0,0,0,0,0,6,2,0,3,3,0,1,1,0.12,0.348,0.451,0.25,0,27,12,13,8,51,21,2,6,1,2,0,0,0,2.093,0.976,0.682
W,4,2,30/5/2021,48531,MTL,TOR,Erin Ambrose,D,28.02,0,0.024,0,0,0,4,1,0,0,0,0,0,12,8,1,3,3,1,1,0,0.31,0.384,0.384,0.143,1,30,14,12,7,60,38,4,7,4,0,0,0,0,0.887,1.252,0.415
W,4,2,30/5/2021,48531,MTL,TOR,Lauriane Rougeau,D,27.03,0,0.02,0,0,0,2,0,0,0,0,0,0,6,3,0,2,2,0,1,0,0.16,0.316,0.456,0.091,1,33,13,7,2,78,44,5,3,1,0,0,0,0,1.359,0.826,0.622
W,4,2,30/5/2021,48531,MTL,TOR,Karell Emard,D,15.52,0,0.035,1,0,1,2,2,1,0,0,0,0,2,0,0,3,1,1,1,1,0.02,0.349,0.43,1,1,21,13,7,5,49,34,3,3,2,1,0,1,0,2.432,0.704,0.776
W,4,2,30/5/2021,48531,MTL,TOR,Catherine Daoust,D,20.53,0,0.062,0,0,0,2,2,1,1,0,0,1,8,4,0,3,1,1,1,0,0.14,0.379,0.388,0,1,22,12,12,7,41,15,2,5,0,1,0,1,0,0.655,0.803,0.449
W,4,2,30/5/2021,48531,MTL,TOR,Samantha Isbell,F,8.07,0,0.015,1,0,1,1,0,0,0,0,0,0,4,2,1,0,0,1,3,2,0.12,0.382,0.422,0.2,0,12,5,5,2,23,13,0,2,1,1,0,0,0,0.473,0.372,0.56
L,2,4,30/5/2021,48531,TOR,MTL,Jocelyne Larocque,D,22.27,0,0.095,1,1,0,4,2,0,0,0,0,0,8,3,0,1,0,0,3,2,0.14,0.405,0.36,0.308,2,23,14,11,8,44,26,5,7,1,1,5,0,0,0.667,1.53,0.304
L,2,4,30/5/2021,48531,TOR,MTL,Laura Fortino,D,18.3,0,0.01,0,0,0,1,0,0,0,0,0,0,6,4,2,2,2,2,2,0,0.09,0.375,0.4,0,1,16,8,5,3,32,21,2,2,0,1,0,0,1,0.812,0.841,0.491
L,2,4,30/5/2021,48531,TOR,MTL,Renata Fast,D,26.32,0,0.07,0,0,0,4,2,0,0,0,0,0,10,9,1,2,2,1,7,4,0.28,0.433,0.36,0.364,2,19,13,7,5,48,27,3,3,1,1,2,0,0,1.231,1.961,0.386
L,2,4,30/5/2021,48531,TOR,MTL,Ella Shelton,D,23.05,0,0.04,0,0,0,4,0,0,0,0,0,0,5,3,0,0,0,0,4,2,0.16,0.407,0.387,0.2,1,21,10,6,5,39,23,4,5,0,0,1,0,0,0.928,1.281,0.42
L,2,4,30/5/2021,48531,TOR,MTL,Claire Thompson,D,19.37,0,0.083,0,0,0,3,0,0,0,0,0,0,11,7,2,2,2,2,2,0,0.24,0.464,0.31,0.286,0,11,5,6,3,28,15,1,4,1,1,2,0,0,0.74,0.555,0.571
L,2,4,30/5/2021,48531,TOR,MTL,Ella Matteucci,D,10.05,0,0.023,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.05,0.4,0.37,0.4,2,13,6,8,5,26,18,1,1,1,2,2,1,0,0.318,0.805,0.283
W,5,2,27/2/2021,46181,MIN,NH,Hannah Brandt,F,18.17,0,0.162,0,0,0,5,4,1,1,1,0,0,15,12,1,2,0,2,5,3,0.4,0.431,0.359,0.312,0,17,9,6,3,34,16,2,1,1,0,0,0,0,0.904,0.458,0.664
W,5,2,27/2/2021,46181,MIN,NH,Sydney Brodt,F,5.32,0,0.02,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0.02,0.214,0.571,0,0,11,6,6,3,20,13,3,3,1,0,1,2,0,0.023,0.503,0.043
W,5,2,27/2/2021,46181,MIN,NH,Dani Cameranesi,F,21.42,0,0.662,0,0,0,4,3,3,1,2,0,1,15,10,1,0,0,4,5,3,0.38,0.441,0.377,0.3,0,18,9,5,2,44,25,3,1,2,0,0,0,0,2.155,0.522,0.805
W,5,2,27/2/2021,46181,MIN,NH,Kendall Coyne Schofield,F,18.58,1,0.64,0,0,0,8,6,2,1,0,0,0,12,8,0,1,0,2,6,7,0.38,0.344,0.44,0.2,1,18,11,8,6,60,36,3,2,3,0,0,1,2,1.342,0.654,0.672
W,5,2,27/2/2021,46181,MIN,NH,Hilary Knight,F,20.51,0,0.454,1,1,0,7,6,3,1,1,3,1,16,11,0,1,0,3,4,4,0.29,0.354,0.425,0.4,1,19,12,8,6,64,41,4,2,3,0,1,0,0,1.307,0.805,0.619
W,5,2,27/2/2021,46181,MIN,NH,Annie Pankowski,F,19.59,0,0.598,0,0,0,9,4,2,1,3,1,0,19,13,1,2,2,3,5,8,0.54,0.445,0.374,0.364,0,19,11,7,4,42,20,2,1,1,0,0,1,0,2.019,0.546,0.787
W,5,2,27/2/2021,46181,MIN,NH,Kelly Pannek,F,22.08,0,0.174,1,0,1,5,4,2,2,0,0,0,17,14,3,1,1,5,4,7,1.05,0.376,0.417,0.263,1,16,10,7,5,62,37,3,2,3,0,0,0,0,1.924,0.61,0.759
W,5,2,27/2/2021,46181,MIN,NH,Ryleigh Houston,F,10.51,1,0.533,2,1,1,3,3,3,0,1,0,1,3,1,0,2,1,3,4,2,0.07,0.327,0.418,0.167,1,9,5,1,1,18,11,1,0,0,1,0,0,0,0.964,0.291,0.768
W,5,2,27/2/2021,46181,MIN,NH,Sophia Shaver,F,19.42,0,0.064,1,0,1,3,1,0,0,0,0,0,6,4,1,0,0,1,3,2,0.09,0.408,0.398,0.286,0,20,12,5,3,40,24,4,3,1,0,0,0,0,1.322,0.51,0.722
W,5,2,27/2/2021,46181,MIN,NH,Abby Roque,F,19.51,2,0.484,2,2,0,8,6,2,0,1,1,1,12,8,4,0,0,6,6,4,0.56,0.365,0.429,0.333,1,24,15,9,5,41,29,5,3,1,1,2,0,0,1.608,1.131,0.587
W,5,2,27/2/2021,46181,MIN,NH,Samantha Donovan,F,8.01,0,0,1,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,0.13,0.417,0.312,0.125,1,7,4,4,2,5,4,1,2,0,1,1,0,0,0.502,0.499,0.502
L,2,5,27/2/2021,46181,NH,MIN,Chelsey Goldberg,F,5.12,0,0.083,0,0,0,2,2,1,0,0,0,0,4,2,0,0,0,1,2,3,0.19,0.431,0.38,1,0,6,6,1,1,8,4,1,1,0,0,0,0,0,0.311,0.584,0.348
L,2,5,27/2/2021,46181,NH,MIN,Brianna Decker,F,25.13,0,0.121,0,0,0,5,3,2,0,2,0,0,15,11,0,1,0,2,6,8,1.12,0.442,0.347,0.353,1,26,18,14,10,60,41,6,4,6,5,2,1,1,0.457,1.716,0.21
L,2,5,27/2/2021,46181,NH,MIN,Amanda Kessel,F,24.39,0,0.281,0,0,0,6,4,2,1,0,0,0,27,15,1,0,0,3,8,13,1.11,0.481,0.304,0.231,1,19,11,10,5,47,32,4,3,3,4,0,0,0,0.739,1.24,0.374
L,2,5,27/2/2021,46181,NH,MIN,Gigi Marvin,F,17.14,1,0.271,1,1,0,4,4,1,0,0,1,0,12,8,4,1,1,5,5,7,0.31,0.465,0.325,0.273,2,18,10,8,4,39,29,4,3,3,0,1,0,0,1.117,0.898,0.554
L,2,5,27/2/2021,46181,NH,MIN,Hayley Scamurra,F,17.44,1,0.231,0,0,0,7,7,3,1,0,0,0,8,4,0,0,0,3,3,2,0.33,0.424,0.374,0.2,2,21,11,9,5,43,29,3,3,3,0,1,0,0,1.027,1.149,0.472
L,2,5,27/2/2021,46181,NH,MIN,Haley Skarupa,F,28.1,0,0.212,0,0,0,4,4,2,2,0,0,0,23,15,2,1,1,4,6,13,0.59,0.452,0.343,0.412,2,28,19,16,11,73,54,7,5,7,6,2,0,0,1.002,1.659,0.377
L,2,5,27/2/2021,46181,NH,MIN,Courtney Turner,F,11.42,0,0.025,0,0,0,2,2,1,0,0,0,0,2,1,0,0,0,1,3,1,0.03,0.28,0.498,0,1,23,14,7,4,33,23,3,2,2,0,1,0,0,0.191,1.6,0.107
L,2,5,27/2/2021,46181,NH,MIN,Alexa Gruschow,F,17.15,0,0.124,0,0,0,2,1,1,1,1,0,0,8,4,0,1,0,1,3,4,0.21,0.32,0.468,0.286,2,30,18,13,9,44,31,4,4,5,1,2,0,0,0.568,2.293,0.198
L,2,5,27/2/2021,46181,NH,MIN,Emily Field,F,16.01,0,0.301,1,1,0,3,1,1,0,0,0,0,6,3,1,0,0,2,2,2,0.09,0.474,0.309,0.176,2,17,8,7,4,34,24,4,2,3,1,0,0,0,1.035,0.783,0.569
L,2,5,27/2/2021,46181,NH,MIN,Delaney Belinskas,F,12.51,0,0.136,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,5,2,0.02,0.274,0.505,0.3,2,21,10,8,4,48,31,3,2,2,0,1,0,0,0.376,0.944,0.285
L,3,4,28/2/2021,46182,MIN,NH,Hannah Brandt,F,22.26,0,0.44,0,0,0,2,1,1,1,1,0,0,26,20,2,0,0,3,5,3,0.48,0.45,0.37,0.143,0,21,9,9,7,42,29,5,1,5,4,0,0,0,1.551,1.025,0.602
L,3,4,28/2/2021,46182,MIN,NH,Sydney Brodt,F,9.3,0,0.061,0,0,0,3,2,1,1,0,0,0,7,4,1,0,0,2,5,6,0.21,0.405,0.351,0,0,9,5,5,3,22,11,3,1,2,1,0,1,0,0.199,0.568,0.26
L,3,4,28/2/2021,46182,MIN,NH,Dani Cameranesi,F,26.39,0,0.638,0,0,0,8,3,1,0,2,0,1,18,10,1,0,0,2,6,6,0.36,0.405,0.392,0.357,0,27,11,12,8,61,44,7,1,7,4,0,0,0,1.767,1.657,0.516
L,3,4,28/2/2021,46182,MIN,NH,Kendall Coyne Schofield,F,21.02,1,1.102,1,0,1,15,9,5,4,3,1,1,14,10,1,1,1,6,13,11,1.03,0.389,0.366,0.091,3,15,7,9,5,48,24,3,2,5,1,1,0,2,1.717,0.798,0.683
L,3,4,28/2/2021,46182,MIN,NH,Hilary Knight,F,20.3,1,0.165,1,1,0,5,3,1,1,1,0,0,9,6,1,2,0,2,2,1,0.18,0.412,0.354,0.429,2,14,5,7,3,46,23,1,2,3,0,1,0,0,1.602,0.62,0.721
L,3,4,28/2/2021,46182,MIN,NH,Annie Pankowski,F,24.34,0,0.435,0,0,0,10,3,2,2,2,1,0,23,17,1,2,1,3,5,6,0.54,0.433,0.372,0.214,0,21,9,6,5,45,32,3,1,4,3,0,0,0,1.543,0.758,0.671
L,3,4,28/2/2021,46182,MIN,NH,Kelly Pannek,F,21.02,0,0.07,1,1,0,3,0,0,1,0,0,0,19,14,3,0,0,3,7,5,0.4,0.365,0.386,0.25,2,17,7,9,4,49,25,3,2,5,0,1,1,0,1.256,0.807,0.609
L,3,4,28/2/2021,46182,MIN,NH,Ryleigh Houston,F,8.34,0,0.256,0,0,0,2,2,2,0,1,0,0,7,5,0,0,0,2,1,0,0.18,0.598,0.286,0,1,5,3,3,2,13,6,1,1,1,1,0,0,0,0.473,0.304,0.608
L,3,4,28/2/2021,46182,MIN,NH,Abby Roque,F,17.38,1,0.037,1,0,1,2,1,0,0,0,0,0,25,20,2,0,0,2,5,7,1.06,0.464,0.316,0.211,2,11,7,5,4,32,15,2,2,2,2,0,0,0,0.735,0.534,0.579
L,3,4,28/2/2021,46182,MIN,NH,Samantha Donovan,F,7.36,0,0.019,1,1,0,2,1,0,0,0,0,0,5,2,0,0,0,0,2,2,0.08,0.297,0.403,0.4,1,11,7,5,4,16,8,2,2,1,2,0,0,0,0.074,0.443,0.143
W,4,3,28/2/2021,46182,NH,MIN,Brianna Decker,F,27.06,2,0.64,2,2,0,10,7,5,2,4,2,0,19,11,2,0,0,7,8,9,0.44,0.424,0.345,0.429,2,32,12,13,3,70,48,6,3,7,0,1,1,1,1.908,1.248,0.605
W,4,3,28/2/2021,46182,NH,MIN,Amanda Kessel,F,25.4,1,0.253,1,1,0,3,1,1,0,1,1,1,26,18,0,1,1,1,9,5,0.58,0.458,0.303,0.333,1,25,9,7,1,53,34,3,1,3,0,0,0,0,1.671,0.757,0.688
W,4,3,28/2/2021,46182,NH,MIN,Gigi Marvin,F,20.32,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2,0,0,2,4,4,0.26,0.373,0.421,0.25,0,19,8,9,5,84,63,7,4,3,2,1,0,1,0.981,1.108,0.47
W,4,3,28/2/2021,46182,NH,MIN,Hayley Scamurra,F,20.23,0,0.374,0,0,0,7,3,3,2,1,0,0,7,4,0,0,0,3,6,5,0.32,0.397,0.395,0.375,1,21,10,9,5,81,63,5,4,3,2,1,0,0,1.294,1.131,0.534
W,4,3,28/2/2021,46182,NH,MIN,Haley Skarupa,F,25.51,1,0.43,2,0,2,8,4,4,0,3,3,0,17,8,2,0,0,6,9,5,0.52,0.464,0.308,0.143,2,22,8,8,2,57,37,7,1,4,0,0,0,0,1.888,0.736,0.72
W,4,3,28/2/2021,46182,NH,MIN,Courtney Turner,F,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.36,0.353,0,0,9,2,4,2,7,4,0,3,1,0,0,0,0,0.158,0.525,0.231
W,4,3,28/2/2021,46182,NH,MIN,Alexa Gruschow,F,15.59,0,0.26,0,0,0,3,3,2,1,1,0,0,10,6,1,1,0,3,5,3,0.28,0.39,0.419,0.25,1,25,12,9,6,50,35,3,4,2,0,1,0,0,0.746,1.409,0.346
W,4,3,28/2/2021,46182,NH,MIN,Emily Field,F,15.3,0,0.007,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,1,3,2,0.11,0.373,0.379,0.091,2,13,9,6,4,37,25,5,3,2,1,1,1,0,0.679,0.651,0.511
W,4,3,28/2/2021,46182,NH,MIN,Delaney Belinskas,F,11.44,0,0.016,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0.01,0.251,0.528,0.4,0,24,10,11,7,48,33,3,5,4,0,1,0,1,0.143,1.654,0.08
W,4,1,6/3/2021,46183,MIN,NH,Hannah Brandt,F,17.59,0,0.056,0,0,0,1,0,0,0,0,0,0,16,3,1,0,0,1,3,1,0.14,0.333,0.435,0.2,0,20,12,11,6,57,36,7,3,4,2,0,0,0,0.54,0.867,0.384
W,4,1,6/3/2021,46183,MIN,NH,Sydney Brodt,F,10.39,0,0.063,1,1,0,1,0,0,0,1,0,0,4,1,0,0,0,0,5,3,0.06,0.221,0.521,0.4,0,14,6,9,5,33,18,6,4,1,2,0,0,1,0.163,0.699,0.189
W,4,1,6/3/2021,46183,MIN,NH,Dani Cameranesi,F,19.57,0,0.537,1,0,1,7,3,2,1,3,1,1,23,18,3,0,0,5,1,4,0.52,0.484,0.324,0.375,0,16,10,5,4,34,18,2,2,3,0,0,0,0,1.22,0.68,0.642
